WBSID,Nhóm,Thể Loại,Chiểu Sâu,Phiên Bản,Outline,Sort Helper,Title (WBS),STT,Level 1,Level 2,Level 3,"STT
Hoa Nghiêm","STT
Thủ Nhãn","STT
Tứ Liên Hoa","STT
Ngũ Tự","STT
Lục Tý","STT
10 Pháp Bảo","STT
Bảo Loa","STT
6-2-6-2","STT
Advanced","STT
GALAMI1","STT
GALAMI2","STT-GALAMI
","STT
LHBDT",A.3/3/3,A.4/3/3,A.5/3/3,A.5/5/5,A.Thường Trụ Bất Biến,A.Lục Tý,A.Ending,A.LHBDT,A.6/2/6/2,Nhó,C1 Tên CTT,C5 Thủ Nhãn-Tên,C2 Tên Dài CTT,C3 Giảng Giải CTT,C4 Siddham Code,C4 Siddham Unicode,C4 CTT-Image,C5 Dharma Object Name,C6 Pháp Bảo-Image,A1 Sự,A2 Lý,A3 Khai Dẫn,A4 Hành,A4 Hành A,A4 Hành B,A5 Trung Dẫn,A6 Chú Khởi Động,A8 Lời Khẳng Định,A9 Kết Dẫn,B1 Ritual,B2 Meaning,B3 Opening Instruction,B4 Action A,B4 Action B,B6 Activator,B7 Closing Íntruction,B8 Confirmation Statement,C4 CTT Link,C4 CTT-URL,C6 Pháp Bảo Link,C6 Pháp Bảo-URL,D1 Audio Link,D2 Video Bài Giảng,D3 Bài Giảng
42.8.4,42,8,4,0,3,42.08.04.00,            42.8.4 - Tu Liên Hoa Bồ Đề Tâm,A060,L,A,20,,,,,,,,,X20,,,,X20,X20,X20,X20,X20,,,,X20,E9,08,BA,Nhật Tinh Mani,Kim Cang Trường,nghĩa là từ trường bất hoại (tức là sức mạnh của Chân Tâm).,𑖤 - siddham letter ba (u+115A4) copy and paste - Unicode® symbol,𑖤,,Sun Essence Mani,,Tu Liên Hoa Bồ Đề Tâm,"(−2.0,0.0,0.0)(-2.0, 0.0, 0.0)(−2.0,0.0,0.0)",Quán tưởng CTT BA 𑖤 ở phía tay trái 1 sải tay.,Left Outer,"Shư Fô La Dê<br>
Om, Đu Bi Cha Đê Đu Bi, <br>
Bô La Qua Li Ning, <br>
Sô Pô Hô","Shr Fo La Ye
Om, Du Bi Jya Ye Du Bi,
Bo La Wa Li Ning
So Po He.",,,,,,,,,,,,,https://drive.google.com/file/d/1HhKGBq4Y0qDAe5JtVZQj-ieDro4XGKmx/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1HhKGBq4Y0qDAe5JtVZQj-ieDro4XGKmx,https://drive.google.com/file/d/1EAEONUW5SJ-zYRI_a4eQd-Nz9o_h2C8k/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1EAEONUW5SJ-zYRI_a4eQd-Nz9o_h2C8k,,,
42.8.4,42,8,4,0,3,42.08.04.00,            42.8.4 - Tu Liên Hoa Bồ Đề Tâm,A066,L,A,26,,,,,,,,,X26,,,,,,,,,,,,,,08,BA,Nhật Tinh Mani,Kim Cang Trường,nghĩa là từ trường bất hoại (tức là sức mạnh của Chân Tâm).,𑖤 - siddham letter ba (u+115A4) copy and paste - Unicode® symbol,𑖤,,Sun Essence Mani,,Tu Liên Hoa Bồ Đề Tâm,,,,"Shư Fô La Dê<br>
Om, Đu Bi Cha Đê Đu Bi, <br>
Bô La Qua Li Ning, <br>
Sô Pô Hô","Shr Fo La Ye
Om, Du Bi Jya Ye Du Bi,
Bo La Wa Li Ning
So Po He.",,,,,,,,,,,,,https://drive.google.com/file/d/1HhKGBq4Y0qDAe5JtVZQj-ieDro4XGKmx/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1HhKGBq4Y0qDAe5JtVZQj-ieDro4XGKmx,https://drive.google.com/file/d/1EAEONUW5SJ-zYRI_a4eQd-Nz9o_h2C8k/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1EAEONUW5SJ-zYRI_a4eQd-Nz9o_h2C8k,,,
42.9,42,9,0,0,2,42.09.00.00,        42.9 - Tu Nguyện Thành Tựu,B133,A,A,1,E09,E09,,,E09,,,,E35,E39,E09,E39,,,,,,,,,,,09,ḌA (DDA),Nguyệt Tinh Mani,Phổ Luân,nghĩa là những phạm trù toàn diện (của trí huệ siêu việt).,𑖚 - siddham letter dda (u+1159A) copy and paste - Unicode® symbol,𑖚,,Moon Essence Mani,,Tu Nguyện Thành Tựu,"Tay Nhấc Bổng, Mắt Tha Thứ","Ngón trỏ, ngón cái tay Phải, cầm Nguyệt Tinh Mani",,"Đu Lu Đu Lu (5x) <br>
Om, Su Si Đi Cha Li, <br>
Sô Pô Hô (5x)","Du Lu Du Lu (5x) <br>
Om, Su Syi Di Jya Li <br>
So Po He (5x)",,,"Tôi nhấc bổng và chuyển hóa tất cả chúng sinh hữu duyên, <br>
và nguyện thành tựu Nhẫn Nhục Ba La Mật.",,,"Hand Uplifting, Eyes Forgiving",RIght index and thumb holding Moon Essence Mani,,,,,I uplift and transform all living beings.,https://drive.google.com/file/d/1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW,https://drive.google.com/file/d/13Q3H1Wf3Phmu6e45MLnSHpeFYUuMS241/view?usp=drive_link,https://drive.google.com/uc?export=download&id=13Q3H1Wf3Phmu6e45MLnSHpeFYUuMS241,,,
42.9,42,9,0,0,2,42.09.00.00,        42.9 - Nguyệt Quang Bồ Tát,B134,K,A,1,,,,,,,,,,,,,,,,,,,,,,,09,ḌA (DDA),Nguyệt Quang Bồ Tát,Phổ Luân,nghĩa là những phạm trù toàn diện (của trí huệ siêu việt).,𑖚 - siddham letter dda (u+1159A) copy and paste - Unicode® symbol,𑖚,,,,Nguyệt Quang Bồ Tát,,,,"Shen Đi Đi...Tu Shu Cha, <br>
Ơ Rơ Mi Đi...Wu Đu Cha, <br>
Shen Chi Cha...Bô La Đi, <br>
Dê Mi Rơ Cha...Wu Đu Cha, <br>
Chư Lô Đi Cha...Chi Mô Cha, <br>
Sô Pô Hô","Shen Di Di---Tu Shu Ja, <br>
E Re Mi Di---Wu Du Ja, <br>
Shen Chi Ja---Bo La Di, <br>
Ye Mi Re Ja---Wu Du Ja, <br>
Jyu Lo Di Ja---Chi Mo Ja, <br>
So Po Ho",,,"Xin chư Phật, chư Bồ Tát, chư vị Thánh Hiền, chư vị Giác Ngộ, chư vị Tổ Sư của dòng phái, ban bố cho con sức mạnh hấp thu:<br>
<br>
1. tất cả những tâm thức hữu lậu<br>
2. tất cả những tập khí, thói quen, tật xấu từ vô lượng kiếp cho đến nay<br>
3. tất cả những bóng tối và điểm mù<br>
<br>
và cho con có khả năng chuyển hóa, mọi chấp kẹt vào bóng tối, nghiệp lực, nghiệp chướng và nghiệp ác của mình, của người, và tất cả chúng sinh xung quanh con.",,,,,,,,,,https://drive.google.com/file/d/1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW,,,,,
42.9.4,42,9,4,0,3,42.09.04.00,            42.9.4 - Tu Liên Hoa Bồ Đề Tâm,A046,L,A,6,,,,,,,,,X06,,,,X06,X06,X06,X06,X06,,,,X06,E1,09,ḌA (DDA),Nguyệt Tinh Mani,Phổ Luân,nghĩa là những phạm trù toàn diện (của trí huệ siêu việt).,𑖚 - siddham letter dda (u+1159A) copy and paste - Unicode® symbol,𑖚,,Moon Essence Mani,,Tu Liên Hoa Bồ Đề Tâm,"(0.0,0.0,−2.0)(0.0, 0.0, -2.0)(0.0,0.0,−2.0)","Quán tưởng CTT ḌA 𑖚 ở phía dưới mặt đất, dưới chổ ngồi.",Bottom Outer,"Đu Lu Đu Lu <br>
Om, Su Si Đi Cha Li, <br>
Sô Pô Hô","Du Lu Du Lu
Om, Su Syi Di Jya Li
So Po He",,,,,,,,,,,,,https://drive.google.com/file/d/1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW,https://drive.google.com/file/d/13Q3H1Wf3Phmu6e45MLnSHpeFYUuMS241/view?usp=drive_link,https://drive.google.com/uc?export=download&id=13Q3H1Wf3Phmu6e45MLnSHpeFYUuMS241,,,
42.9.4,42,9,4,0,3,42.09.04.00,            42.9.4 - Tu Liên Hoa Bồ Đề Tâm,A051,L,A,11,,,,,,,,,X11,,,,X11,X11,X11,X11,X11,,,,X11,E4,09,ḌA (DDA),Nguyệt Tinh Mani,Phổ Luân,nghĩa là những phạm trù toàn diện (của trí huệ siêu việt).,𑖚 - siddham letter dda (u+1159A) copy and paste - Unicode® symbol,𑖚,,Moon Essence Mani,,Tu Liên Hoa Bồ Đề Tâm,"(0.0,2.0,0.0)(0.0, 2.0, 0.0)(0.0,2.0,0.0)",Quán tưởng CTT ḌA 𑖚 ở phía sau lưng 1 sải tay,Back Outer,"Đu Lu Đu Lu <br>
Om, Su Si Đi Cha Li, <br>
Sô Pô Hô","Du Lu Du Lu
Om, Su Syi Di Jya Li
So Po He",,,,,,,,,,,,,https://drive.google.com/file/d/1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW,https://drive.google.com/file/d/13Q3H1Wf3Phmu6e45MLnSHpeFYUuMS241/view?usp=drive_link,https://drive.google.com/uc?export=download&id=13Q3H1Wf3Phmu6e45MLnSHpeFYUuMS241,,,
42.9.4,42,9,4,0,3,42.09.04.00,            42.9.4 - Tu Liên Hoa Bồ Đề Tâm,A056,L,A,16,,,,,,,,,X16,,,,X16,X16,X16,X16,X16,,,,X16,E7,09,ḌA (DDA),Nguyệt Tinh Mani,Phổ Luân,nghĩa là những phạm trù toàn diện (của trí huệ siêu việt).,𑖚 - siddham letter dda (u+1159A) copy and paste - Unicode® symbol,𑖚,,Moon Essence Mani,,Tu Liên Hoa Bồ Đề Tâm,"(2.0,0.0,0.0)(2.0, 0.0, 0.0)(2.0,0.0,0.0)",Quán tưởng CTT ḌA 𑖚 ở phía bên phải 1 sải tay,Right Outer,"Đu Lu Đu Lu <br>
Om, Su Si Đi Cha Li, <br>
Sô Pô Hô","Du Lu Du Lu
Om, Su Syi Di Jya Li
So Po He",,,,,,,,,,,,,https://drive.google.com/file/d/1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW,https://drive.google.com/file/d/13Q3H1Wf3Phmu6e45MLnSHpeFYUuMS241/view?usp=drive_link,https://drive.google.com/uc?export=download&id=13Q3H1Wf3Phmu6e45MLnSHpeFYUuMS241,,,
42.9.4,42,9,4,0,3,42.09.04.00,            42.9.4 - Tu Liên Hoa Bồ Đề Tâm,A067,L,A,27,,,,,,,,,X27,,,,,,,,,,,,,,09,ḌA (DDA),Nguyệt Tinh Mani,Phổ Luân,nghĩa là những phạm trù toàn diện (của trí huệ siêu việt).,𑖚 - siddham letter dda (u+1159A) copy and paste - Unicode® symbol,𑖚,,Moon Essence Mani,,Tu Liên Hoa Bồ Đề Tâm,,,,"Đu Lu Đu Lu <br>
Om, Su Si Đi Cha Li, <br>
Sô Pô Hô","Du Lu Du Lu
Om, Su Syi Di Jya Li
So Po He",,,,,,,,,,,,,https://drive.google.com/file/d/1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW,https://drive.google.com/file/d/13Q3H1Wf3Phmu6e45MLnSHpeFYUuMS241/view?usp=drive_link,https://drive.google.com/uc?export=download&id=13Q3H1Wf3Phmu6e45MLnSHpeFYUuMS241,,,
42.10,42,10,0,0,2,42.10.00.00,        42.10 - Tu Nguyện Thành Tựu,B135,A,A,1,E10,E10,,,,,,,E14,E21,,E21,,,,,,,,,,C1,10,ṢA (SSA),Bảo Cung,Hải Tạng,nghĩa là kho tàng (Chân Như) rộng như biển cả.,𑖬 - siddham letter ssa (u+115AC) copy and paste - Unicode® symbol,𑖬,,Jewel Bow,,Tu Nguyện Thành Tựu,,Hai Tay cầm Bảo Cung,,"Pha Sha Pha Shen (5x) <br>
Om, Ơ Zô Quay Li <br>
Sô Pô Hô (5x)","Fa Sha Fa Shen (5x) <br>
Om, E Dzo Wei Li <br>
So Po He. (5x)",,"Om, Suksma Vajra (3x)",Nguyện thành tựu tiềm năng vô biên của Bồ Đề Tâm.,,,,,,,"Om, Suksma Vajra (3x)",,I vow to realize the measureless potential of the Bodhi Mind. ,https://drive.google.com/file/d/1h7Hwr6HJ0DA-DMrrXUTAGAxcjHeV381q/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1h7Hwr6HJ0DA-DMrrXUTAGAxcjHeV381q,https://drive.google.com/file/d/1ztJXpa3DnoeWdV9jmT9tUaHPTqpRsahn/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1ztJXpa3DnoeWdV9jmT9tUaHPTqpRsahn,,,
42.11,42,11,0,0,2,42.11.00.00,        42.11 - Tu Nguyện Thành Tựu,B137,A,A,1,E11,E11,,,,,,,E15,E22,,E22,,,,,,,,,,C2,11,VA,Bảo Tiễn,Phổ Sinh An Trụ Môn,"nghĩa là khiến (tâm vị tha, tâm vô ngā, tâm bất nhị) an trụ khắp mọi nơi.",𑖪 - siddham letter va (u+115AA) copy and paste - Unicode® symbol,𑖪,,Jewel Arrow,,Tu Nguyện Thành Tựu,,Tay cầm mũi tên,,"Pơ Dê Mô Nô (5x) <br>
Om, Chê Nô La, <br>
Sô Pô Hô (5x)","Pe Ye Mo No (5x) <br>
Om, Jye No La, <br>
So Po He. (5x)",,"Om, Suksma Vajra (3x)",Nguyện thành tựu sứ mạng triển khai Thập Hạnh Phổ Hiền.,"Quán tưởng 6 đường xoắn trôn đi ra từ tâm Oa, xoắn theo đường ngược kim đồng hồ. Lập tức từ Tâm Oa lan tỏa ra 6 đường xoắn trôn làm cho sự thu tập của con ",,,Hand holding the Jewel Arrow,,,"Om, Suksma Vajra (3x)",,I vow to realize the mission of unfolding the 10 vows of Samanthabhadra. ,https://drive.google.com/file/d/1t43hXKb79CmWkx7f4JiIRTxBpAXmtt54/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1t43hXKb79CmWkx7f4JiIRTxBpAXmtt54,https://drive.google.com/file/d/1wKIboqxOjFIknOWCBlvAvx5AMD7JATEs/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1wKIboqxOjFIknOWCBlvAvx5AMD7JATEs,,,
42.11,42,11,0,0,2,42.11.00.00,        42.11 - Tu Nguyện Thành Tựu,B136,B,A,1,,,E07,,,,,,,,,,,,,,,,,,,,11,VA,Liên Hoa Tứ Hợp,Phổ Sinh An Trụ,"nghĩa là khiến (tâm vị tha, tâm vô ngā, tâm bất nhị) an trụ khắp mọi nơi.",𑖪 - siddham letter va (u+115AA) copy and paste - Unicode® symbol,𑖪,,Integral Lotus,,Tu Nguyện Thành Tựu,,Tay  Hoa Sen,,"Om, Xiên Đan Đô <br>
Man Đô La, <br>
Ba Tô Dê, <br>
Sô Pô Hô (5x)","Om, Syin Dian Do <br>
Man Do La, <br>
 Ba To Ye <br>
So Po He (5x)",,"Om, Suksma Vajra (3x)","Nguyện thành tựu viên mãn tứ liên hoa, <br>
Chuyển hóa tất cả hư vọng và nợ nần, <br>
Khai mở lòng đại từ, đại bi, đại hỉ, đại xả.",,,,Lotus Hand Position,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1t43hXKb79CmWkx7f4JiIRTxBpAXmtt54/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1t43hXKb79CmWkx7f4JiIRTxBpAXmtt54,https://drive.google.com/file/d/1BNCs6RkxCboEFAY_yeO9RkbVu26GHx9t/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1BNCs6RkxCboEFAY_yeO9RkbVu26GHx9t,,,
42.11.4,42,11,4,0,3,42.11.04.00,            42.11.4 - Tu Liên Hoa Bồ Đề Tâm,A061,L,A,21,,,,,,,,,X21,,,,,,,,,,,,,F7,00,VA,Liên Hoa Tứ Hợp,Phổ Sinh An Trụ,"nghĩa là khiến (tâm vị tha, tâm vô ngā, tâm bất nhị) an trụ khắp mọi nơi.",𑖪 - siddham letter va (u+115AA) copy and paste - Unicode® symbol,𑖪,,Integral Lotus,,Tu Liên Hoa Bồ Đề Tâm,,Quán tưởng CTT VA 𑖪 ở phía trên đỉnh đầu.,,"Om, Xiên Đan Đô <br>
Man Đô La, <br>
Ba Tô Dê, <br>
Sô Pô Hô","Om, Syin Dian Do
Man Do La,
 Ba To Ye
So Po He",,,,,,,,,,,,,https://drive.google.com/file/d/1t43hXKb79CmWkx7f4JiIRTxBpAXmtt54/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1t43hXKb79CmWkx7f4JiIRTxBpAXmtt54,https://drive.google.com/file/d/1BNCs6RkxCboEFAY_yeO9RkbVu26GHx9t/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1BNCs6RkxCboEFAY_yeO9RkbVu26GHx9t,,,
42.12,42,12,0,0,2,42.12.00.00,        42.12 - Tu Nguyện Thành Tựu,B138,A,A,1,E12,E12,,,,,,,F06,,,,,,,,,,,,,,12,TA,Dương Chi,Viên Mãn Quang,nghĩa là quang minh (từ Chân Tâm thì) viên mãn.,𑖝 - siddham letter ta (u+1159D) copy and paste - Unicode® symbol,𑖝,,Dương Chi Thủ Nhãn,,Tu Nguyện Thành Tựu,,,,"Mu Đi Li (5x) <br>
Om, Su Si Đi, Cha Li Qua Li <br>
Đô Nan Đô, Mu Đô Di <br>
Qua Zư La, Qua Zư La <br>
Pan Tô, Hơ Nang Hơ Nang, <br>
Hum Pan Cha. (5x)","Mu Di Li (5x) <br>
Om, Su Syi Di, Jya Li Wali <br>
Do Nan Do, Mu Do Yi <br>
Wa Dz La, Wa Dz La <br>
Pan To, He Nang He Nang <br>
Hum Pan Ja. (5x)",,"Om, Suksma Vajra (3x)","Nguyện thành tựu sức mạnh đại từ lực để chuyển hóa 5 thứ tâm lượng: <br>
<br>
1. Tâm sân hận <br>
2. Tâm lẫy hờn <br>
3. Tâm oán hận <br>
4. Tâm ích kỷ, nhỏ nhen <br>
5. Tâm ác độc, tổn hại chúng sinh <br>
 <br>
Nguyện thành tựu Mao Quang Chiếu Ích Tam Muội
",,,,,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1-d_C2m5dF0jA2fun4KNsFh9kMgU8D5hf/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1-d_C2m5dF0jA2fun4KNsFh9kMgU8D5hf,https://drive.google.com/file/d/1kWBR2PtzWKEee6KOgIlO7wuNV191FrBX/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1kWBR2PtzWKEee6KOgIlO7wuNV191FrBX,,,
42.13,42,13,0,0,2,42.13.00.00,        42.13 - Tu Nguyện Thành Tựu,B139,A,A,1,E13,E22,E01,,,,,,E16,E23,E06,E23,,,,,,,,,,,13,YA,Bảo Tráp,Sai Biệt Tích Tụ ,nghĩa là tích tụ (vô số công đức) khác nhau.,𑖧 - siddham letter ya (u+115A7) copy and paste - Unicode® symbol,𑖧,,Jewel Chest,,Tu Nguyện Thành Tựu,,"Tay Trái cầm hộp.
Tay Phải cầm nắp.",,"Si Tô Du Di, Shư Pan La Dê (5x) <br>
Om, Qua Zư La, <br>
Bô Shư Chê Li, <br>
Chê Nang Sin La Hum (5x)","Syi To Yu Yi, Shr Pan La Ye (5x) <br>
Om, Wa Dz La, <br>
Bo Shr Jye Li, <br>
Jye Nang Syin La Hum (5x)",,"Om, Suksma Vajra (3x)","Nguyện thành tựu Vô Tận Công Đức Tạng, <br>
Khai mở bản tánh chân thật và niềm tin vô lậu.",,,,"Left hand holding the Jewel Chest.
Right hand holding the lid.",,,"Om, Suksma Vajra (3x)",,I vow to accomplish the Inexhaustible Treasure of Goodness.,https://drive.google.com/file/d/12yD-Vj5sSezqlRsyC8mXf0CzxZRjIxEh/view?usp=drive_link,https://drive.google.com/uc?export=download&id=12yD-Vj5sSezqlRsyC8mXf0CzxZRjIxEh,https://drive.google.com/file/d/1vlRkV1QV1z5jV3kHwtAFCtlBWHhi9mVC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1vlRkV1QV1z5jV3kHwtAFCtlBWHhi9mVC,,,
42.13,42,13,0,0,2,42.13.00.00,        42.13 - Chuyển hóa Pháp Bảo thành Tâm Bảo,B140,A,B,1,,,,,,,,,,,,,,,,,,,,,,,13,YA,Bảo Tráp,Sai Biệt Tích Tụ ,nghĩa là tích tụ (vô số công đức) khác nhau.,𑖧 - siddham letter ya (u+115A7) copy and paste - Unicode® symbol,𑖧,,Jewel Chest,,Chuyển hóa Pháp Bảo thành Tâm Bảo,Tu Pháp Bảo thành Thần Bảo (Tác Dụng),"Tay Trái cầm hộp.
Tay Phải cầm nắp.",,"Si Tô Du Di, Shư Pan La Dê (5x) <br>
Om, Qua Zư La, <br>
Bô Shư Chê Li, <br>
Chê Nang Sin La Hum (5x)","Syi To Yu Yi, Shr Pan La Ye (5x) <br>
Om, Wa Dz La, <br>
Bo Shr Jye Li, <br>
Jye Nang Syin La Hum (5x)",,"Om, Tistha Vajra (3x)",Tôi đang biến cái Bảo Tráp này thành Mảnh Đất Thiện Căn trong tâm.,,,,"Left hand holding the Jewel Chest.
Right hand holding the lid.",,,"Om, Tistha Vajra (3x)",,I am transforming this Jewel Chest into the Ground of Goodness.,https://drive.google.com/file/d/12yD-Vj5sSezqlRsyC8mXf0CzxZRjIxEh/view?usp=drive_link,https://drive.google.com/uc?export=download&id=12yD-Vj5sSezqlRsyC8mXf0CzxZRjIxEh,https://drive.google.com/file/d/1vlRkV1QV1z5jV3kHwtAFCtlBWHhi9mVC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1vlRkV1QV1z5jV3kHwtAFCtlBWHhi9mVC,,,
42.13.4,42,13,4,0,3,42.13.04.00,            42.13.4 - Tu Liên Hoa Bồ Đề Tâm,A047,L,A,7,,,,,,,,,X07,,,,X07,,,X07,X07,,,,X07,F1,13,YA,Bảo Tráp,Sai Biệt Tích Tụ ,nghĩa là tích tụ (vô số công đức) khác nhau.,𑖧 - siddham letter ya (u+115A7) copy and paste - Unicode® symbol,𑖧,,Jewel Chest,,Tu Liên Hoa Bồ Đề Tâm,"(0.0,0.0,−1.0)(0.0, 0.0, -1.0)(0.0,0.0,−1.0)",Quán tưởng CTT YA 𑖧 ngay dưới chổ ngồi.,Bottom Inner,"Si Tô Du Di, Shư Pan La Dê <br>
Om, Qua Zư La, <br>
Bô Shư Chê Li, <br>
Chê Nang Sin La Hum","Syi To Yu Yi, Shr Pan La Ye
Om, Wa Dz La,
Bo Shr Jye Li,
Jye Nang Syin La Hum",Root Chakra,,,,,,,,,,,,https://drive.google.com/file/d/12yD-Vj5sSezqlRsyC8mXf0CzxZRjIxEh/view?usp=drive_link,https://drive.google.com/uc?export=download&id=12yD-Vj5sSezqlRsyC8mXf0CzxZRjIxEh,https://drive.google.com/file/d/1vlRkV1QV1z5jV3kHwtAFCtlBWHhi9mVC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1vlRkV1QV1z5jV3kHwtAFCtlBWHhi9mVC,,,
42.14,42,14,0,0,2,42.14.00.00,        42.14 - Tu Nguyện Thành Tựu,B141,A,A,1,E14,E14,,,,,,,E18,E25,,E25,,,,,,,,,,,14,ṢṬA (SSTTA),Tịnh Bình,"Phổ Quang Minh, Tức Phiền Não",nghĩa là khi (Chân Tâm) phóng quang minh thì mọi phiền não ngưng bặt.,𑖧 - siddham letter ya (u+115A7) copy and paste - Unicode® symbol,𑖬𑖿𑖘,,Jewel Vase,,Tu Nguyện Thành Tựu,,Tay Trái cầm Bảo Bình,,"Nô La Chin Chư (5x) <br>
Om, Chê Li San Man Den, <br>
Sô Pô Hô (5x)","No La Jin Jr (5x) <br>
Om, Jye Li San Man Yen, <br>
So Po He (5x)",,"Om, Suksma Vajra (3x)","Tôi là trí huệ Hàm Dung. <br>
Nguyện thành tựu chuyển hóa <br>
A-Lại-Da Thức thành Bạch Tịnh Thức.
",,,,Left hand holding the Jewel Vase,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1kWJbF4B7E9RoY4O9FFMiTHGzMQXfxjyQ/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1kWJbF4B7E9RoY4O9FFMiTHGzMQXfxjyQ,https://drive.google.com/file/d/1tlX2mAvCa41TQelnkSA0hjTtg7PVJqnv/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1tlX2mAvCa41TQelnkSA0hjTtg7PVJqnv,,,
42.14,42,14,0,0,2,42.14.00.00,        42.14 - Tu Nguyện Thành Tựu,B142,B,A,1,,,,,,,,,E17,E24,,E24,,,,,,,,,,,14,ṢṬA (SSTTA),Hồ Lô,"Phổ Quang Minh, Tức Phiền Não",nghĩa là khi (Chân Tâm) phóng quang minh thì mọi phiền não ngưng bặt.,𑖧 - siddham letter ya (u+115A7) copy and paste - Unicode® symbol,𑖬𑖿𑖘,,Jewel Gourd,,Tu Nguyện Thành Tựu,,"Tay Phải cầm Hồ Lô, nấp mở ra.",,"Nô La Chin Chư (5x) <br>
Om, Chê Li San Man Den, <br>
Sô Pô Hô (5x)","No La Jin Jr (5x) <br>
Om, Jye Li San Man Yen, <br>
So Po He (5x)",,"Om, Suksma Vajra (3x)","Nguyện thành tựu chuyển hóa <br>
A-Lại-Da Thức thành Đại Viên Kính Trí và <br>
Mạc-Na-Thức thành Bình Đẳng Tánh Trí.",,,,"Right hand holding the Jewel Gourd, lid opens.",,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1kWJbF4B7E9RoY4O9FFMiTHGzMQXfxjyQ/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1kWJbF4B7E9RoY4O9FFMiTHGzMQXfxjyQ,https://drive.google.com/file/d/16fxiZjJKzr7SDWr1l00AUllJ8YDfqT2I/view?usp=drive_link,https://drive.google.com/uc?export=download&id=16fxiZjJKzr7SDWr1l00AUllJ8YDfqT2I,,,
42.14.4,42,14,4,0,3,42.14.04.00,            42.14.4 - Tu Nguyện Thành Tựu,B141,A,A,1,E14,E14,,,,,,,E18,E25,,E25,,,,,,,,,,G2,14,ṢṬA (SSTTA),Tịnh Bình,"Phổ Quang Minh, Tức Phiền Não",nghĩa là khi (Chân Tâm) phóng quang minh thì mọi phiền não ngưng bặt.,𑖧 - siddham letter ya (u+115A7) copy and paste - Unicode® symbol,𑖬𑖿𑖘,,Jewel Vase,,Tu Nguyện Thành Tựu,,Tay Trái cầm Bảo Bình,,"Nô La Chin Chư (5x) <br>
Om, Chê Li San Man Den, <br>
Sô Pô Hô (5x)","No La Jin Jr (5x) <br>
Om, Jye Li San Man Yen, <br>
So Po He (5x)",,"Om, Suksma Vajra (3x)","Tôi là trí huệ Hàm Dung. <br>
Nguyện thành tựu chuyển hóa <br>
A-Lại-Da Thức thành Bạch Tịnh Thức.
",,,,Left hand holding the Jewel Vase,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1kWJbF4B7E9RoY4O9FFMiTHGzMQXfxjyQ/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1kWJbF4B7E9RoY4O9FFMiTHGzMQXfxjyQ,https://drive.google.com/file/d/1tlX2mAvCa41TQelnkSA0hjTtg7PVJqnv/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1tlX2mAvCa41TQelnkSA0hjTtg7PVJqnv,,,
